Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,"Hello! I hope you’re having a good day. I'm Gabrielle Turmelle, resume writer, career coach, and creator of the 14-day LinkedIn Mastery for Job Seekers program. I help job seekers build their LinkedIn presence and create compelling resumes, so they can get in front of recruiters, impress hiring managers, and land the perfect job for them.     A few advantages that come from working with me:  - I offer unlimited resume revisions for 90 days  - My programs and services are competitively priced  - I stay with my clients until they receive their offer letter    LinkedIn does provide a number of great courses to help you write your resume yourself. With a bit of time and patience, you could craft a beautiful and effective resume that hiring managers will appreciate.    If you find yourself staring at your Word document, unsure of what to type or how to wordsmith, consider the following tips to help you along:    - Determine exactly what it is that the hiring manager is looking for  - On your resume, show how you’d be a perfect fit for the role using evidence and metrics  - Give the hiring manager what they want to see *early* on in the document    Your goal is to generate interest and appeal as quickly as possible.    I serve recent grads to senior leaders across all industries, and I’ve helped candidates land roles within Amazon, Google, Microsoft, and many other Fortune 500 companies. If you’re ready to make an investment in your future, I’d love for you to send me a message.    Gabrielle Turmelle",,,,true
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 16:22:31 UTC 2020,SERVICE_MARKETPLACE,"Ready to THRIVE in your career? You’ll need to communicate your Career Brand Story and prioritize your professional growth. We’ll help you accelerate your career growth opportunities and thrive in the job you love.    We offer three Career Brand Story packages with Career Coaching options and a FREE 15-minute phone assessment;    ASCEND - $595  90-minute Career Coaching Session  Talent Insight Report (D.I.S.C) – 40 Page Report of Your Talents!  Market-Ready Resume  LinkedIn Career Personal Branding    BLAZE - $495  45-minute Career Coaching Session  Talent Insight Report (D.I.S.C) – 40 Page Report of Your Talents!  Market-Ready Resume  LinkedIn Career Personal Branding    TRAILBLAZER - $295  Market-Ready Resume  LinkedIn Career Personal Branding    We now offer a CAREER MARKETING PROGRAM helping you create a Referral Network Strategy to locate the best opportunities for your goals. We’ll help take care of those monotonous job applications and keep track of your progress so that you can keep your energy dedicated to the most important things. Join this 12-week program at special introductory price through 7/31 - $1200    We use positive based coaching and validated behavioral assessments that enable people to use the Science of Self™ to reveal and harness their talent and skills to be more engaged in their life, career, and calling. For EXECUTIVE COACHING please visit jeremytudor.com.    Listen to our Career Brand Story podcast: https://www.youtube.com/channel/UCwizo9i2wr6J_1zN4MU2Uuw/  ",,,,true
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Jul 13 17:22:48 UTC 2020,SERVICE_MARKETPLACE,"Hi! I have plenty of experience crafting resumes for transitioning tenured client strategy/business development professionals in the tech/healthcare/business space seeking new succession.    Regarding new resume or LinkedIn profile development, I setup a process with the steps below. As a former recruiter for 10+ years, I am comfortable in understanding resume content/format/ATS relevance from the hiring manager standpoint.    I'll email information about services & the resume writing process. You send a current copy of your resume along with answers to my preliminary questionnaire contained in the introductory email. We setup a mutual time to speak about your background & clarify any outstanding questions on each end.    Once I receive the necessary information/payment, I develop the resume/coverletter (coverletter is included in the $265 cost) & will deliver the documents to your inbox within 5 business days. Upon receiving documents, you can email me any revisions for inclusion. You will be working with me directly. I do a wonderful job & my testimonials can vouch for my services accordingly:    mjwcareers.com/resume-testimonials    700+ LinkedIn recommendations, 8K+ followers on Linkedin, 100+ Google & Facebook recommendations, & have been writing resumes/coaching for 16 years    Thank you again for your time & opportunity.     Matthew Warzel, CPRW   President, MJW Careers  O: 855-YES-EMPLOYEES | warzel@mjwcareers.com | mjwcareers.com | Blog: jobstickers.com",,,,true
