Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2021-11-04 01:30 UTC,N/A,false,N/A,
Betty Liu on Career Success,"Betty Liu is a LinkedIn Influencer and anchor for Bloomberg Television. She is also founder of Radiate (RadiateInc.com), which focuses on management and leadership content. Betty asks the hard questions of world leaders and industry titans like Bill Clinton, Elon Musk, Warren Buffett, Jamie Dimon, and many more. Her experience in the business world has led her to author books and host the popular Radiate podcast, which have helped thousands explore new career opportunities and make smarter career decisions. Here Betty shares her take on the most common and pressing topics when it comes to job seeking and career success.<br><br>

Learn what it takes to<br><ul>
<li>Find your passion</li>
<li>Be an outstanding job candidate</li>
<li>Interview well</li>
<li>Overcome fear</li>
<li>Make a career change</li>
<li>Network and find mentors</li>
</ul>",Course,2018-08-18 15:08 UTC,N/A,false,N/A,
Building Resilience (2014),"Have trouble getting by when the going gets tough? Everyone wants to perform well when the pressure's on, but a lot of us withdraw in times of stress or adversity. If you can build your resilience, you'll have an easier time facing new challenges and earn a valuable skill to offer employers. In this course, Kelley School of Business professor and professional communications coach Tatiana Kolovou explains how to bounce back from difficult situations, by building your ""resiliency threshold."" She outlines five training techniques to prepare for difficult situations, and five strategies for reflecting on them afterward. Find out where you are on the resilience scale, identify where you want to be, and learn strategies to close the gap. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-03-17 13:44 UTC,N/A,false,N/A,
An Introduction to How Generative AI Will Transform Healthcare,"From workflow efficiency to clinical decision support to innovative drug discovery and more, AI will transform the healthcare ecosystem. In this course, Dr. Matthew Lungren explores generative AI applications within various facets of healthcare, offering insights into the revolutionary impact on patient care, data management, and clinical operations. Dr. Lungren breaks down complex concepts into accessible content, focusing on the practical aspects of AI in improving patient care, streamlining data processes, and enhancing clinical efficiency. Through case studies and expert insights, he also covers the ethical and social implications of deploying generative AI in healthcare, encouraging best practices and responsible use. The final segments of the course focus on the future, preparing you to anticipate and shape the next wave of innovation in generative AI in healthcare.",Course,2025-08-27 22:14 UTC,N/A,false,N/A,
Lead Like a Boss,"Want to get ahead? Inspire others? Nurture the next gen? Become the leader of the pack? You need to learn to lead like a <b>boss</b>. Dr. Todd Dewett has been coaching leaders for over 20 years. The lessons he teaches are short and frank. They make you think; they make you laugh; they make you change. Here he explains what it takes to not just survive but thrive in meetings, navigate politics at work, balance servant leadership with self-care, build a rapport with colleagues, understand why smart isn't always superior-and more. These are leadership lessons like you've never heard before. Whether you're managing a team, a company, or a critical project, these tips can help lead <i>you</i> in the right direction.",Course,2018-07-18 21:21 UTC,N/A,false,N/A,
"Occupational Safety and Health: Slips, Trips, and Falls","No workplace is immune from accidents. From worksites full of hazards like construction sites or warehouses, to seemingly benign places like your average office, accidents just happen. And while you may not spend your days worrying about slips, trips, or short falls, these are some of the most frequent injuries and can be serious enough to require medical attention and time off work.<br><br>
In this course, construction safety consultant Jim Rogers covers slips, trips, and falls, where they tend to occur, and their impact on the employee and the workplace. Jim provides an understanding of how both working conditions and physical structure of the jobsite can present hazards, and details policies, practices, and technology (such as personal protective equipment) that can limit the danger.",Course,2023-11-22 14:55 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2025-04-28 13:51 UTC,N/A,false,N/A,
Transitioning to Management for Salespeople,"Transitioning from being a sales professional to managing other sales professionals involves developing a whole new set of competencies. You need to learn how to coach others, effectively communicate your expectations, and anticipate market changes so you can set up your salespeople for success. In this course, sales trainer and coach Lisa Earle McLeod explains why many salespeople find this transition difficult, and shows how to overcome the challenges that come with tackling this new role. She outlines the basics of sales management, focusing specifically on issues where new sales managers can get stuck, such as sales pipeline management, sales skills coaching, helping direct reports with their accounts, and attracting and retaining talent. Lisa provides guidance on how to hold effective sales meetings and work with other departments—such as marketing, accounting, and product—who are critical to your success. She also shares how to deal with failure and grapple with a challenging market.",Course,2018-10-09 14:59 UTC,N/A,false,N/A,
Managing New Managers,"Managing new leaders comes with a unique set of challenges. Even the most outstanding individual contributor can struggle as they unpack their new role and tackle their increased responsibilities. In this course, learn how to support and inspire new leaders as they make this critical transition. Leadership expert Sara Canaday shows how to identify the unique perspectives and challenges of your new managers, set the expectations for their transition, provide coaching and support, and cultivate the right conditions to help them succeed.",Course,2018-08-12 12:42 UTC,N/A,false,N/A,
Selling to Executives,"Selling to executives can be challenging. Many sales reps struggle to close deals with this high-powered—and occasionally intimidating—portion of their clientele. For the last decade, Mike Gamson has been heading up sales at LinkedIn. In this course, he shares his hard-won knowledge with you, to help you prepare a winning game plan for tackling your meetings with executives.",Course,2019-06-11 10:36 UTC,N/A,false,N/A,
Finance and Accounting Tips (2018),"Are you curious about the financial details of big companies like Walmart and Boeing, but shy away from further investigation because you don't consider yourself a numbers person? In this series, accounting professors Jim and Kay Stice—who have been exploring financial information for a combined 60 years—break down essential accounting and finance concepts into manageable, bite-sized chunks. They help you understand the balance sheet, debits and credits, company operating cycles, and more. In addition, they explain where to find accounting information in the real world, and what to do with it once you have it.",Course,2019-01-17 17:26 UTC,N/A,false,N/A,
"Agentic AI Fundamentals: Architectures, Frameworks, and Applications","Looking to dive into the world of agentic AI? The course covers the essential concepts, architectures, and frameworks that form the foundation of autonomous agents. Explore decision-making processes, machine learning techniques, and multi-agent systems and gain practical knowledge to develop and deploy agentic AI solutions. Instructor David Linthicum also addresses the ethical and societal implications of agentic AI, as well as security and robustness considerations. Check out this course to get equipped with the skills and understanding needed to leverage agentic AI in various industries and applications.",Course,2025-12-04 15:15 UTC,N/A,false,N/A,
Consulting Foundations: The Concept of Value,"Value is the new buzzword in consulting—and for good reason. People buy value, not just products and services. Consultants who maximize the value created for their clients can command a pricing premium and deliver better results. This course teaches consultants what value is, and how to identify and communicate the value they provide to the people they serve. Author, CEO, and coach Robbie Baxter shows how to connect value to your pricing—whether it's for accounting or design services—and handle challenges, from avoiding being seen as a commodity to moving beyond an hourly role. She also provides questions and frameworks to pinpoint your unique value and move to a pricing strategy that better reflects your worth.",Course,2019-07-16 16:27 UTC,N/A,false,N/A,
Machine Learning Fundamentals for Healthcare,"<p>There’s an increased demand to integrate AI and machine learning workflows into many different business sectors. This is especially true in today’s unique and constantly evolving global healthcare landscape.</p><p>In this course, instructor Wuraola Oyewusi provides an overview of how AI and machine learning can optimize healthcare processes, data analysis, health outcomes, and more. Along the way, gather insights drawn from real-world examples to address complex privacy and ethical considerations in the industry. Wuraola also shows you how to utilize machine learning for tabular healthcare datasets using a Google Colab Notebook, including clinical records, classification, predictions, regression, clustering, and localization.</p>",Course,2024-07-19 02:39 UTC,N/A,false,N/A,
Presenting to Senior Executives in the Age of AI,"Presenting to senior executives can significantly boost your professional credibility and career. In this course, Tatiana Kolovou shows you what to do before, during, and after your presentation. Explore how to analyze your audience, frame your message, address tough questions, and send impactful pre-meeting correspondence. Delve into creating a compelling narrative, crafting concise messaging, and preparing for unexpected interruptions to keep your audience engaged. Discover AI tools that aid in generating personalized profiles and analyzing your delivery. Gain skills in smooth transitions, deep preparation, and maintaining an engaging presence both in-person and virtually. By the end of this course, you will understand how to handle executive presentations with confidence and poise, making your proposals resonate and stand out.",Course,2025-09-11 16:14 UTC,N/A,false,N/A,
Becoming Head of Sales: Developing Your Playbook,"Throughout his decade-long tenure as the head of sales at LinkedIn, Mike Gamson has amassed a wealth of knowledge on the topic of sales leadership. In this course, Mike shares what he knows with you, spelling out how to run a successful sales team. Discover how to develop a strong, consistent leadership voice, inspire your team, and define your objectives. Plus, learn how to establish your core principles; implement global and local strategies; execute your tactics; and observe, analyze, and adjust to ensure that you're able to grapple with any missteps.",Course,2018-10-09 12:14 UTC,N/A,false,N/A,
AI Challenges and Opportunities for Leadership,"<p>If you’re an organizational leader or senior executive, you’ve probably been thinking about the future of AI. What will its impact ultimately be? How will AI affect your workforce and organization? This course prepares you to navigate the most important opportunities and challenges presented by AI, particularly its effects on decision-making, strategic planning, and business leadership.</p><p>Join Conor Grennan, <i>New York Times</i> best-selling author and dean of students at the New York University Stern School of Business, as he explores what you can do as a leader to respond to the perils and promises of AI., including strategies to address structural considerations, employee retention and development, performance management, and team effectiveness. Along the way, Conor offers practical insights on making better decisions for your teams, leveraging the power of AI to differentiate your business and spur innovation over time.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/ai-for-organizational-leaders-by-microsoft-and-linkedin"" >Professional Certificate</a> from Microsoft.</p>",Course,2025-07-01 13:02 UTC,N/A,false,N/A,
Sales: Closing a Complex Sale,"Complex sales have multiple influencers and stakeholders, and sometimes face multiple competitors. There are a lot of factors for the buyer to juggle. This complexity can lead to lost revenue, longer sales cycles, and unpredictable outcomes. By understanding the buyer's problem and simplifying the value of your solution, you will be better positioned to close the deal. Watch this course with sales coach Jeff Bloomfield to find out how to systematically navigate the process of a complex sale, and receive the tactics and tools to increase your likelihood of sales success. Learn how to understand your buyers by examining their journey in a new way, and discover how to clearly articulate and defend the unique value of your product.",Course,2018-08-23 20:18 UTC,N/A,false,N/A,
NIST 800-53r5: Introduction to Security and Privacy Controls,"<p>NIST SP 800-53 Rev. 5 provides guidance on establishing collaboration between security and privacy programs for selecting and implementing controls. In this course, designed by industry-leading cybersecurity professional development platform Cybrary,  explore the essentials of the security and privacy controls covered in NIST 800-53 Rev. 5, including how to work control families, the anatomy of a control, control selection, control types, organizational variables, system security planning, and control assessment.</p><p>Note: This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-11-04 13:43 UTC,N/A,false,N/A,
Managing Your Career: Mid-Career,"Many people experience a mid-career crisis, where you show up, do the work, and take home a paycheck. It is difficult to contemplate a change when you feel boxed into a particular job or you are not being recognized for the work that you are doing. How do you pivot and achieve your career goals? Using the identity framework, Valerie Sutton helps you approach your next move strategically. Designed for the mid-career professional with 10 or more years of experience, this course covers a variety of pathways: moving up in your current career; changing roles, industries, or organizations; or even starting your own business. Change starts now. Dive in and learn how to identify what success means for you and your work, and develop a plan to realize your true career goals.",Course,2018-08-20 12:02 UTC,N/A,false,N/A,
Excel: Analyzing Your Sales Pipeline,"Enhance your sales pipeline and bolster business performance using Excel and Salesforce. In this course, follow along with Rudolph Rosenberg as he shows how to analyze your sales performance using these powerful tools. Rudolph begins with an overview of the sales cycle and the sales pipeline, including what information to extract from Salesforce, and how to do it. Next, he covers the key angles to analyzing sales performance, and explains how to create both qualitative and quantitative reports. Finally, he shows how to conduct effective pipeline reviews for you and your team.",Course,2019-07-11 17:35 UTC,N/A,false,N/A,
Nano Tips on How to Apologize Authentically with Arti Halai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Arti Halai guides you through the steps of reflection and thought necessary to share an authentic apology in both personal and professional settings.</p><p>
 
This course was created by Arti Halai and CRFT Productions. We are pleased to host this training in our library.
 </p>",Course,2025-12-10 15:07 UTC,N/A,false,N/A,
AI for Marketing,"Dive into the transformative power of AI in marketing with this course for marketing professionals. Seasoned marketing strategist Brad Batesole highlights how AI can streamline workflows, boost creativity, and optimize your marketing campaigns. Discover how to use conversational AI for generating marketing prompts, craft detailed buyer personas, and align your brand voice seamlessly. Learn to personalize marketing campaigns swiftly, analyze data for actionable insights, and create engaging marketing materials with ease. Whether you're aiming to enhance your content creation, data analysis, or campaign personalization, these skills will propel your marketing into the future. Step into the world of AI-driven marketing and revolutionize how you engage with your audience, with real-world applications and actionable strategies.",Course,2025-10-18 03:13 UTC,N/A,false,N/A,
Microsoft 365 Copilot Quick Tips (2024),"Did you know that Copilot for Microsoft 365 can help to speed up your workflow by allowing you to create, summarize, and analyze documents, messages, and data? These quick, bite-sized lessons from Microsoft Most Valuable Professional (MVP) for Microsoft 365 and Microsoft Certified Trainer (MCT) show how to leverage the most powerful Copilot features across each of the core Microsoft 365 apps. Learn how to save time in Teams meetings by summarizing meeting notes and pulling key points from a Teams meeting chat history. Speed up your communication in Outlook by summarizing long email conversations and drafting new emails with the help of AI. Analyze data more quickly and precisely in Excel through Copilot prompts. Along the way, Heather demonstrates how to transform text-heavy Word documents into engaging PowerPoint presentations in a matter of minutes. Each video is about one minute long, so you can jump in and gather helpful insights in practically no time.",Course,2025-09-21 14:04 UTC,N/A,false,N/A,
Tips for Fostering a Growth Mindset from Today’s Top Business Leaders,"In this course, high-profile business leaders share short, actionable advice for anyone trying to cultivate a growth mindset. Hear about how to own your failures from media mogul Jeffrey Katzenberg. Find out how to change a scarcity mindset from Nopalera founder Sandra Velasquez. Learn to be open to experimentation with lessons from Liquid Death CEO Mike Cessario. Check out this course for these lessons and more to find out how you can develop a growth mindset.",Course,2026-01-15 00:36 UTC,N/A,false,N/A,
Nano Tips for Answering Common Interview Questions with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for answering common interview questions more effectively and authentically to help you land a new role or change your career. Follow along with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker, Tiffany Uman.</p><p>Unlock the secret methods of a successful interviewee to find out what sets them apart. Learn how to harness your weaknesses as a source of power, explain gaps and resignations, avoid common mistakes, and calm your nerves. Along the way, Tiffany also gives you pointers on tackling notoriously difficult questions that probe your skills and capacities as a problem solver on the spot. By the end of this course, you’ll be ready to start answering—and asking—your next interview questions like a pro, so you land more job offers with ease and confidence.</p>",Course,2025-04-04 13:44 UTC,N/A,false,N/A,
"Japanese, Part 3: Improving Fluency, Expression, and Writing","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—shows you some additional ways to speak about the past by using the past-tense forms of i-adjectives, and the aizuchi words that will help your conversation move along more smoothly. You’ll also learn about sushi, from the Edo period up to the present day—and why no one could have eaten the sushi of old with chopsticks. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-23 14:16 UTC,N/A,false,N/A,
Executive Leadership (2019),"In this course, author John Ullmen, PhD, gives you the keys to the C suite: a look at executive leadership qualities that set the best apart from the rest. Discover the importance of knowing how to set a foundation and direction, create a compelling vision of the future for your company, motivate your staff to achieve, and much more. The course also looks at the importance of maintaining a mentality of service as you move up the org chart.",Course,2019-07-27 12:41 UTC,N/A,false,N/A,
Nano Tips for Developing a Simplification Mindset with Lisa Bodell,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, gather practical insights from renowned innovation leader, futurist, and the CEO of FutureThink Lisa Bodell.</p><p>Lisa shares practical, easy-to-use tips for getting the most out of your work day by utilizing a simplification mindset that allows you to eliminate distractions, audit schedules and systems, and promote more effective processes for greater efficiency and improved focus. Explore the basics of choosing meaningful work, investing your time wisely, scheduling more mindfully, and taking a step back from work, when needed. Along the way, Lisa shows you how to prioritize work with purpose and identify complexity and time sucks as you go. By the end of this course, you’ll be prepared to start eliminating duplicate tasks and workarounds, so you can stay focused on your immediate sphere of influence and control.</p>",Course,2024-09-23 14:48 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2020-10-27 13:07 UTC,N/A,false,N/A,
Demystifying Agentic AI with ChatGPT: Elevate Your Skills and Unlock New Potential,"Explore the power of agentic AI in this course with instructor Jules White. Jules simplifies the concept of agentic AI, helping you understand how to interact with and harness these intelligent agents effectively. Imagine agents autonomously scheduling meetings, drafting tailored reports, or even managing customer inquiries—all while you focus on strategic tasks. Learn how these agents work and gain the fundamental knowledge to start building AI in a new way, revolutionizing your approach to productivity and innovation.",Course,2025-10-17 14:21 UTC,N/A,false,N/A,
Managing Up as an Employee,"Establishing a good working relationship with your manager is one of the most effective ways to accelerate success in your organization. In this course, get strategies for managing up, whether you're collaborating with your boss in a remote environment or a physical office. Join Mary Abbajay—the best-selling author of <i>Managing Up: How to Move Up, Win at Work, and Succeed with Any Type of Boss</i>—as she provides practical strategies for working with a range of different personalities. Because working well with others requires us to understand how people operate, Mary steps through how to recognize (and accept) the different types of bosses you may encounter. Learn how to manage the extroverted (or introverted) boss, the micromanager, the workaholic boss, and more. Plus, discover what you can do to combat the ill effects of a toxic boss. Whether the person above you is a middle manager or a top executive, this course can provide you with the tools you need to set yourself up for success.",Course,2021-02-04 14:29 UTC,N/A,false,N/A,
Objectified,"On an average day, each of us uses hundreds of objects. (Don't believe it? Start counting: alarm clock, light switch, faucet, shampoo bottle, toothbrush, razor…) But who makes all these things, and why do they look and feel the way they do? How can good design make objects, and our lives, better?<br><br>

<em>Objectified</em> is a documentary about industrial design; it's about the manufactured objects we surround ourselves with, and the people who make them. Gary Hustwit, the director of <em>Helvetica</em>, talks with Dieter Rams, Marc Newson, Jonathan Ive, and other renowned designers behind some of the world's most iconic products. lynda.com is proud to offer this film to our members, along with over one hour of online-exclusive bonus movies.",Course,2020-04-08 02:49 UTC,N/A,false,N/A,
How to Generate Marketing Leads with AI,"<p>As the use of generative AI becomes more widespread, marketers are benefitting from combining marketing strategies with these tools, leading to innovative techniques for lead generation. In this course, social selling expert and coach Lorenzo Johnson guides you on this transformative journey. Explore AI's role in lead generation, gaining profound insights into essential AI technologies. Navigate the realm of AI-driven customer segmentation, harnessing its power to identify and target specific audiences effectively. Plus, discover how to integrate AI and personalization, enabling precise lead nurturing strategies. After completing this course, you'll have advanced skills to harness AI's potential, revolutionizing your approach to lead generation so you can enhance your marketing abilities.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" /><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-10-03 13:33 UTC,N/A,false,N/A,
Learning Foundations: Theory to Practice,"Learning theory isn't just for academics—it's the foundation of effective learning and development practice. In this course, discover how understanding key learning theories can transform your approach to designing and delivering learning experiences. Starting with fundamental concepts and moving through behaviorism, cognitivism, constructivism, and contemporary perspectives, learn how each theory contributes to effective learning design and delivery. Through practical examples and real-world applications, see how theoretical frameworks inform better decision-making in everything from program design to measurement. Whether you're new to L&D or an experienced practitioner looking to strengthen your theoretical foundation, this course can help you create more engaging, effective, and impactful learning experiences for your organization.",Course,2025-12-11 14:54 UTC,N/A,false,N/A,
How to Think Strategically,"What is strategy, and how can you employ it more effectively in your daily life? In this course, LinkedIn’s own COO, Daniel Shapero, deep dives into his favorite subject and pulls in insights from other leaders. Learn Daniel’s definition and first rule of strategy and find out how to “size the mountain” that you want to climb. Explore the basis of competition and capabilities and discover the benefits of scale.  Discover the benefits and potential pitfalls of disruption, then go over business model architecture and value creation patterns. With the expert insights Daniel presents, get ready to think more strategically every day.",Course,2023-03-09 16:49 UTC,N/A,false,N/A,
Better Relationships and More Sales: Using ChatGPT to Sell,"<p>This course is designed to help sales professionals leverage the power of AI to foster meaningful connections, demonstrate credible expertise, and engage in—as well as sustain—more relevant, profitable conversations.</p><p>Join sales expert Jake Dunlap as he outlines the best strategies to build rapport in a digital-first world. Learn how to create tailored outreach backed by industry and company intel, progress complex opportunities by mapping out workflows to each sales contact, and structure AI-powered, data-driven expansion plans for both new and existing accounts. Whether you're at an early or late stage in your sales relationship, by the end of this course, you’ll be equipped with the skills to strengthen engagement by focusing on client needs.</p>",Course,2024-09-20 17:16 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2024-01-05 18:16 UTC,N/A,false,N/A,
